sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
0,0.150,26.6667,41.6319,2868.5,77.6471,2.45605,47.94,4.6875,0,32,80,.994056,.999271,878.7
1,0.300,26.6667,42.2532,2925,76.4706,2.4707,48.42,4.6875,0,32,80,1.00095,.999454,878.7
2,0.450,26.6667,42.2532,2926.25,78.0392,2.47559,48.73,4.6875,0,32,80,1.00043,.999454,881.4
3,0.600,26.6667,42.2532,2918.25,78.4314,2.47559,49.37,3.90625,0,32,80,.991555,.99918,881.4
4,0.750,27.0588,42.2532,2926,78.4314,2.49023,50.17,3.90625,0,32,80,.996557,.999333,881.4
5,0.900,26.6667,42.8746,2939,77.2549,2.48535,49.85,3.125,0,32,80,.997441,.999363,881.4
6,1.050,26.6667,42.8746,2943.75,77.6471,2.47559,49.53,3.125,0,32,80,.994331,.999271,884.2
7,1.200,26.6667,42.8746,2953.75,77.2549,2.48535,49.85,2.34375,0,32,80,.997136,.999363,884.2
8,1.350,26.6667,42.8746,2972.25,76.8628,2.48535,49.85,2.34375,0,32,79,.994513,.999271,884.2
9,1.500,26.6667,43.496,2991,75.6863,2.5,50.17,2.34375,0,32,79,1.00159,.999485,887.1
10,1.650,26.2745,43.496,2979.75,75.6863,2.48535,49.69,2.34375,0,32,79,1.00275,.999485,887.1
11,1.800,25.098,43.496,2991,72.549,2.43164,46.18,1.5625,0,32,79,.99186,.99918,887.1
12,1.950,25.098,43.496,3001.25,69.4118,2.41699,45.56,1.5625,0,32,79,.999363,.999424,889.1
13,2.100,23.9216,43.496,2994.25,67.8431,2.36816,42.5,2.34375,0,32,79,1.01126,.999698,889.1
14,2.250,21.9608,43.496,2988,59.6078,2.24609,35.86,2.34375,0,32,79,1.00836,.999607,889.1
15,2.400,19.6078,43.496,2985.25,45.4902,2.07031,27.51,1.5625,0,32,79,.994697,.999271,889.1
16,2.550,19.2157,43.496,2992.75,40,2.03613,25.78,3.125,0,32,79,1.01754,.999821,888.4
17,2.700,19.2157,43.496,2973,39.2157,2.02637,25.59,.78125,0,32,79,.977525,.998753,888.4
18,2.850,18.4314,42.8746,2946.25,37.2549,1.94824,22.76,0,0,32,79,.983198,.998905,888.4
19,3.000,16.0784,42.8746,2921.75,27.0588,1.71387,15.34,-3.125,.78125,32,79,.957822,.998112,887.7
20,3.150,15.2941,42.2532,2922.5,21.1765,1.5918,12.41,-5.46875,.78125,32,79,.950776,.997838,887.7
21,3.300,14.1176,41.6319,2820.25,16.4706,1.44043,9.38,0,.78125,32,79,.974323,.998631,887.7
22,3.450,14.1176,41.6319,2877.5,13.7255,1.40625,8.57,0,2.34375,32,79,1.11868,1.00153,887.7
23,3.600,14.1176,41.0105,2841,14.5098,1.42578,8.9,0,2.34375,32,79,1.28195,1.004,885.6
24,3.750,14.1176,40.3891,2783.75,14.902,1.4209,8.9,0,2.34375,32,79,1.38696,1.00601,885.6
25,3.900,14.1176,39.7678,2747,14.902,1.41602,8.76,0,2.34375,32,79,1.38696,1.00809,885.6
26,4.050,14.1176,39.7678,2754.5,14.902,1.40137,8.52,0,2.34375,32,79,1.38696,1.01172,883.8
27,4.200,15.2941,39.1464,2734.25,15.2941,1.49414,10.05,0,.78125,32,79,1.38696,1.01291,883.8
28,4.350,18.0392,39.1464,2710.5,27.8431,1.85059,19.17,0,.78125,32,79,1.38696,1.01175,883.8
29,4.500,18.4314,39.1464,2688.75,37.2549,1.94336,22.5,0,0,32,79,1.38696,1.00818,883.6
30,4.650,18.4314,38.525,2702.75,38.0392,1.92871,21.92,7.8125,0,32,79,1.33434,1.00461,883.6
31,4.800,18.4314,38.525,2675.5,38.8235,1.92383,21.75,8.59375,0,32,79,1.08675,1.00101,883.6
32,4.950,18.8235,38.525,2647.75,40,1.95313,22.84,6.25,0,32,79,.989816,.999119,883.6
33,5.100,18.8235,38.525,2635,41.5686,1.96777,23.29,7.03125,0,32,79,.994483,.999271,882.3
34,5.250,19.2157,37.9036,2633,44.3137,2.0166,25.22,6.25,0,32,79,.982862,.998905,882.3
35,5.400,19.6078,37.9036,2628,46.2745,2.05078,26.49,6.25,0,32,79,.980087,.998814,882.3
36,5.550,19.6078,37.9036,2620.25,47.8431,2.0459,26.49,4.6875,0,32,79,.965508,.998387,880.9
37,5.700,20.3922,37.9036,2609.25,52.1569,2.09961,28.74,4.6875,0,32,79,.975085,.998661,880.9
38,5.850,20,37.9036,2608.5,51.7647,2.08984,28.12,2.34375,0,32,79,.973773,.998631,880.9
39,6.000,19.2157,37.9036,2596.25,47.8431,2.02148,25.49,2.34375,0,32,79,.988231,.999088,880.9
40,6.150,18.0392,37.2823,2585.5,42.3529,1.89453,20.92,1.5625,0,32,79,.996679,.999333,879.6
41,6.300,16.8627,37.2823,2573,34.1176,1.78711,17.36,.78125,.78125,32,79,.982893,.998905,879.6
42,6.450,16.4706,37.2823,2561.25,31.7647,1.74316,16.31,0,.78125,32,79,.992287,.99921,879.6
43,6.600,16.4706,36.6609,2541,29.4118,1.72363,15.34,.78125,.78125,32,79,1.00635,.999576,878.4
44,6.750,16.4706,36.6609,2527.5,29.0196,1.70898,15.28,.78125,.78125,32,79,1.00745,.999607,878.4
45,6.900,16.4706,36.6609,2507,29.4118,1.72363,15.54,1.5625,.78125,32,79,1.01605,.99979,878.4
46,7.050,16.8627,36.0395,2494,30.5882,1.74316,16.17,.78125,.78125,32,79,1.00638,.999576,877.1
47,7.200,17.2549,36.0395,2475.5,31.7647,1.76758,16.8,.78125,.78125,32,79,1.00412,.999515,877.1
48,7.350,17.2549,35.4182,2460.5,35.2941,1.80664,18.1,1.5625,.78125,32,79,1.01699,.999821,877.1
49,7.500,18.4314,35.4182,2453.25,38.8235,1.9043,20.83,1.5625,0,32,79,1.01391,.999759,877.1
50,7.650,18.4314,35.4182,2440.25,42.7451,1.90918,21.58,2.34375,0,32,79,1.01477,.999759,875.7
51,7.800,18.8235,35.4182,2429.25,45.4902,1.96777,23.38,1.5625,0,32,79,.998997,.999424,875.7
52,7.950,18.8235,35.4182,2421.75,47.0588,1.97266,23.38,.78125,0,32,79,.998448,.999393,875.7
53,8.100,18.8235,34.7968,2414,47.0588,1.96289,23.02,0,0,32,79,.991525,.99918,874.2
54,8.250,20.3922,34.7968,2409,51.7647,2.0752,27.51,0,0,32,79,1.00394,.999515,874.2
55,8.400,20.7843,34.7968,2407.75,58.4314,2.11914,29.59,0,0,32,79,1.00147,.999454,874.2
56,8.550,21.1765,34.7968,2405.25,60.7843,2.14355,30.8,0,0,32,79,1.00958,.999638,874.2
57,8.700,21.9608,34.7968,2411,65.8824,2.19238,32.8,1.5625,0,32,79,1.03102,1.00013,872.7
58,8.850,22.7451,34.7968,2413,68.2353,2.24121,35.01,2.34375,0,32,79,1.028,1.00006,872.7
59,9.000,23.5294,34.7968,2418,71.7647,2.28027,37.28,3.90625,0,32,79,1.02361,.999973,872.7
60,9.150,23.9216,34.7968,2413.75,74.902,2.28027,37.41,3.90625,0,32,79,1.0086,.999638,871.7
61,9.300,24.7059,35.4182,2428,75.2941,2.29492,37.95,3.125,0,32,80,.995916,.999302,871.7
62,9.450,25.098,35.4182,2439.5,77.2549,2.31445,38.89,3.125,0,32,79,1.00723,.999607,871.7
63,9.600,25.8824,35.4182,2446.5,80,2.33398,40.64,3.125,0,32,79,1.00473,.999546,871.7
64,9.750,25.8824,35.4182,2457.75,79.6078,2.33887,40.5,2.34375,0,32,80,.992897,.99921,871.2
65,9.900,25.8824,36.0395,2476.25,79.2157,2.34375,40.77,2.34375,0,32,80,.995154,.999302,871.2
66,10.050,26.2745,36.0395,2495.75,79.6078,2.35352,41.34,2.34375,0,32,80,1.00635,.999576,871.2
67,10.200,26.2745,36.0395,2501.25,80,2.36328,41.77,2.34375,0,32,80,1.00528,.999546,870.8
68,10.350,26.2745,36.6609,2512.5,80,2.36328,41.77,2.34375,0,32,80,1.00745,.999607,870.8
69,10.500,25.4902,36.6609,2535.5,77.6471,2.33398,40.5,2.34375,0,32,80,1.00098,.999454,870.8
70,10.650,23.5294,36.6609,2536.25,70.5882,2.26074,36.23,.78125,0,32,80,.984113,.998936,870.1
71,10.800,21.9608,37.2823,2544.75,64.7059,2.16797,31.9,.78125,0,32,80,.993568,.999241,870.1
72,10.950,21.1765,36.6609,2553.25,59.2157,2.16797,31.68,0,0,32,80,1.00077,.999454,870.1
73,11.100,20,37.2823,2555,54.902,2.08008,28.12,.78125,0,32,80,1.01123,.999698,870.1
74,11.250,18.4314,37.2823,2548.75,45.8824,1.93359,22.16,-.78125,0,32,80,.995916,.999302,869.1
75,11.400,17.6471,37.2823,2554.75,38.8235,1.85059,19.63,-.78125,0,32,80,.995916,.999302,869.1
76,11.550,16.8627,37.2823,2547.75,34.1176,1.77246,17.22,-1.5625,.78125,32,80,.992013,.99918,869.1
77,11.700,16.0784,36.6609,2532,27.8431,1.64551,13.82,-3.125,.78125,32,80,.980788,.998845,868.1
78,11.850,15.6863,36.6609,2533,25.4902,1.61133,12.69,-4.6875,.78125,31,80,.968924,.998479,868.1
79,12.000,15.6863,36.6609,2518.25,23.9216,1.58691,12.3,-4.6875,.78125,31,80,.987712,.999058,868.1
80,12.150,15.6863,36.6609,2516.5,23.9216,1.59668,12.47,-4.6875,.78125,31,80,.997441,.999363,868.1
81,12.300,15.2941,36.0395,2504,23.9216,1.58203,12.25,-3.90625,.78125,31,80,1.00421,.999515,867.3
82,12.450,15.2941,36.0395,2493.75,22.7451,1.5625,11.81,-3.90625,.78125,31,80,.998235,.999393,867.3
83,12.600,16.4706,36.0395,2496.25,25.4902,1.72363,15.41,-3.90625,.78125,31,80,.993598,.999241,867.3
84,12.750,18.8235,36.0395,2480.5,37.2549,1.95801,22.76,-7.03125,0,31,80,.973987,.998631,866
85,12.900,19.2157,36.0395,2498.5,47.0588,2.0166,25.22,-3.125,0,31,80,1.03962,1.00028,866
86,13.050,20.3922,36.0395,2508.75,52.549,2.10449,28.63,-3.90625,0,31,80,1.01495,.999759,866
87,13.200,21.1765,36.0395,2507.5,59.2157,2.17773,32.01,-1.5625,0,31,80,1.0269,1.00003,865
88,13.350,21.5686,36.6609,2512.5,61.5686,2.19238,32.8,-1.5625,0,31,80,1.02245,.999942,865
89,13.500,21.9608,36.6609,2525.25,62.3529,2.19238,32.92,0,0,31,80,1.02257,.999942,865
90,13.650,21.5686,36.6609,2535.5,61.5686,2.17773,32.23,0,0,31,80,1.01818,.999851,865
91,13.800,21.5686,37.2823,2554.5,59.6078,2.17773,32.01,0,0,31,80,.996099,.999333,864.2
