sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
59,17.250,15.6863,0,1882.5,32.9412,1.56738,11.92,0,0,24,18,.986736,.999027,253.3
60,17.400,15.6863,0,1880,32.9412,1.57715,12.03,0,0,24,18,.984449,.998966,262.7
61,17.550,15.6863,0,1870.25,32.9412,1.56738,11.92,0,0,24,19,.981948,.998875,262.7
62,17.700,15.6863,0,1874.75,32.9412,1.57227,11.81,0,0,24,19,.978318,.998753,262.7
63,17.850,15.6863,0,1859.75,33.3333,1.5625,11.7,0,0,24,19,.974506,.998661,271
64,18.000,15.6863,0,1846.5,32.9412,1.55762,11.7,0,0,24,19,.970632,.99854,271
65,18.150,15.6863,0,1833.25,33.3333,1.55273,11.55,0,0,24,19,.966057,.998387,271
66,18.300,15.6863,0,1823.5,32.9412,1.54785,11.4,0,0,24,19,.960567,.998204,277.5
67,18.450,15.6863,0,1824.75,33.3333,1.55273,11.55,0,0,24,19,.954772,.997991,277.5
68,18.600,15.6863,0,1827,33.3333,1.55762,11.65,0,0,24,19,.949038,.997777,277.5
69,18.750,15.6863,0,1831,32.9412,1.55273,11.6,0,0,24,19,.94245,.997533,277.5
70,18.900,15.6863,0,1835,33.3333,1.54785,11.55,0,0,24,19,.935984,.997289,282.3
71,19.050,15.6863,0,1829.5,32.9412,1.54785,11.45,0,0,24,19,.928542,.997014,282.3
72,19.200,15.6863,0,1828,32.9412,1.55762,11.5,0,0,24,19,.922686,.996801,282.3
73,19.350,15.2941,0,1821,32.9412,1.54785,11.35,0,0,24,19,.921375,.99677,285.5
74,19.500,15.2941,0,1818.25,32.9412,1.54297,11.45,0,0,24,19,.924211,.996862,285.5
75,19.650,15.2941,0,1802,32.9412,1.55273,11.45,0,0,24,19,.92293,.996801,285.5
76,19.800,15.2941,0,1806.75,32.9412,1.54297,11.35,0,0,24,19,.922259,.996801,285.5
77,19.950,15.2941,0,1796.75,32.9412,1.53809,11.35,0,0,24,19,.922259,.996801,288.7
78,20.100,15.2941,0,1807.5,32.9412,1.54297,11.3,0,0,24,19,.92293,.996801,288.7
79,20.250,15.2941,0,1802.75,33.3333,1.54297,11.3,0,0,24,19,.922289,.996801,288.7
80,20.400,15.2941,0,1801.75,32.9412,1.5332,11.3,0,0,24,19,.92479,.996892,291.9
81,20.550,15.2941,0,1795.75,32.9412,1.54785,11.4,0,0,24,19,.930921,.997106,291.9
82,20.700,15.2941,0,1797.5,32.9412,1.53809,11.3,0,0,24,19,.935831,.997289,291.9
83,20.850,15.2941,0,1798.75,32.9412,1.54297,11.3,0,0,24,19,.941718,.997503,296.6
